Labels,Title,State,Date,URL,Author
IBM-HST-GP,Briggs:11Core Processor:RHEL7.3:Some Devices Hung/Errors on HTX,open,2016-12-07,https://github.com/open-power/supermicro-openpower/issues/396,ahthai
,System is not booting on imprint driver,open,2016-12-07,https://github.com/open-power/supermicro-openpower/issues/395,prkatti1
IBM-HST-GP,Stratton:RHEL7.3:tcu_sched stalls for the hxecpu after 149 hrs Full Bootme,open,2016-12-07,https://github.com/open-power/supermicro-openpower/issues/394,ahthai
"Briggs, IBM-HST-GP, SuperMicro HW, Ubuntu","Ubuntu 16.04.1 Baremetal -- After 56 hours run,  HTX (mdt.bu) reports error on SATA DOM",open,2016-12-07,https://github.com/open-power/supermicro-openpower/issues/393,dacng
"IBM FW, SuperMicro FW, Trusted Boot",i2c timeouts using i2cdetect tool,open,2016-12-06,https://github.com/open-power/supermicro-openpower/issues/392,mzipse
"Briggs&Stratton GA2 SP1 mustfix, IBM-HST-GP, SuperMicro FW","Petitboot menu message ""Info: Connected to pb-discover!"" may confuse customer",open,2016-12-05,https://github.com/open-power/supermicro-openpower/issues/391,wildingj
,Unable to do PNOR upgrade,closed,2016-12-05,https://github.com/open-power/supermicro-openpower/issues/390,prkatti1
Trusted Boot,System reporting securemode setting wrongly,open,2016-12-05,https://github.com/open-power/supermicro-openpower/issues/389,prkatti1
"IBM FW, IBM-HST-GP, SuperMicro FW, Trusted Boot",Trustedboot : GA2: System boots many times in between to update SBE Image after installing 1202 PNOR,closed,2016-12-05,https://github.com/open-power/supermicro-openpower/issues/388,abkumarl
IBM-HST-RAS,RAS:New PNOR code 1202  shows many reboots.. ,open,2016-12-02,https://github.com/open-power/supermicro-openpower/issues/387,jyopatel
,PNOR Build Time : 20161201 -- System IPL with error after upgrading to PNOR 1201,closed,2016-12-02,https://github.com/open-power/supermicro-openpower/issues/386,dacng
"IBM-ISST, RHEL",RHEL7.3 + RHV4.0: opal-prd: HBRT: HTMGT:>>processOccError(0x3fffacaae868),closed,2016-12-02,https://github.com/open-power/supermicro-openpower/issues/385,haochanh
"IBM-HST-GP, Trusted Boot","Trustedboot:GA2 :  dt_attach_root failed, duplicate i2c-bus@2 issue reporting on istep 21",open,2016-12-02,https://github.com/open-power/supermicro-openpower/issues/384,abkumarl
verify,"Error reported by IPMI, IPMI::RC_SENSOR_NOT_PRESENT",closed,2016-12-02,https://github.com/open-power/supermicro-openpower/issues/383,nasastry
"Briggs, IBM-HST-GP, Ubuntu",Ubuntu 16.04.1 (Kernel Version: 4.4.0-47-generic) fails to probe the same Nmve drive on every reboot,closed,2016-12-01,https://github.com/open-power/supermicro-openpower/issues/382,dacng
"Briggs&Stratton GA2 mustfix, IBM FW, IBM-HST-RAS, verify",RAS: OCC2 Disabled during boot after updating to 1130 PNOR,closed,2016-12-01,https://github.com/open-power/supermicro-openpower/issues/381,feroz11
"SoftLayer mustfix, SuperMicro FW",iKVM in WebGUI doesn't show hostboot and OPAL boot progress,open,2016-11-30,https://github.com/open-power/supermicro-openpower/issues/380,bwmashak
SuperMicro I/O Adapters,"LSI-3008:Boot: primary from IR Volume information is missing, after setting a IR volume as primary boot device",open,2016-11-30,https://github.com/open-power/supermicro-openpower/issues/379,vrbagalkote
"IBM FW, SuperMicro FW, Trusted Boot",getting few errors in log while upgrading from production key to imprint key build,closed,2016-11-29,https://github.com/open-power/supermicro-openpower/issues/378,prkatti1
"HOT, IBM FW, SuperMicro FW, Trusted Boot",System not at all booting and no logs seen while updating from production key to imprint,open,2016-11-29,https://github.com/open-power/supermicro-openpower/issues/377,prkatti1
"IBM-HST-RAS, Trusted Boot",RAS: No SELs logged on loading PNOR image with Hostboot based and Hostboot extended images mixed from different PNOR drivers,open,2016-11-28,https://github.com/open-power/supermicro-openpower/issues/376,feroz11
verify,ipmitool sol activate forcefully taking off the other active console,closed,2016-11-28,https://github.com/open-power/supermicro-openpower/issues/375,nasastry
SuperMicro FW,fwts tests failing with device-tree erros,open,2016-11-28,https://github.com/open-power/supermicro-openpower/issues/374,nasastry
