Labels,Title,State,Date,URL,Author
,[Barreleye v1.0-stable] Connection timed out when power state change,open,2016-12-07,https://github.com/openbmc/openbmc/issues/863,johnhcwang
,Intermittently hitting org.freedesktop.DBus.Error.ObjectPathInUse: busy processing bus traffic on way to BMC standby,open,2016-12-06,https://github.com/openbmc/openbmc/issues/862,geissonator
,[ Palmetto v1.99.0-309-ged181d5] Palmetto system not booting to HOST_BOOTED state,open,2016-12-06,https://github.com/openbmc/openbmc/issues/861,rahulmah
,BMC not responding to IPMI command from Host,open,2016-12-05,https://github.com/openbmc/openbmc/issues/860,astallma
,/run 100% full after reboot due to journal logs,open,2016-12-02,https://github.com/openbmc/openbmc/issues/859,geissonator
,Attaching RMCP session to SOL - Part 3,open,2016-12-02,https://github.com/openbmc/openbmc/issues/858,geissonator
,Attaching RMCP session to SOL - Part 2,open,2016-12-02,https://github.com/openbmc/openbmc/issues/857,geissonator
,Attaching RMCP session to SOL - Part 1,open,2016-12-02,https://github.com/openbmc/openbmc/issues/856,geissonator
,Need Default Witherspoon fan speeds,open,2016-12-02,https://github.com/openbmc/openbmc/issues/855,spinler
,Implement the callout of a logical entity within an error log,open,2016-12-02,https://github.com/openbmc/openbmc/issues/854,geissonator
prio_low,[ Barreleye v1.99.0-301-g7734ca3 ] Barreleye system went into bad state after code update to #392,closed,2016-12-01,https://github.com/openbmc/openbmc/issues/853,rahulmah
,Zaius FSI debug support,open,2016-11-30,https://github.com/openbmc/openbmc/issues/852,GHF
,Generate client proxy bindings in sdbusplus,open,2016-11-30,https://github.com/openbmc/openbmc/issues/851,williamspatrick
,IPMI: Implement the Self Test on BMC if needed,closed,2016-11-30,https://github.com/openbmc/openbmc/issues/850,williamli80
,Zaius power-on,open,2016-11-30,https://github.com/openbmc/openbmc/issues/849,GHF
,"extended/test_bios_update.robot fails with ""Error -1 erasing chip""",open,2016-11-29,https://github.com/openbmc/openbmc/issues/848,micwalsh
,phosphor-inventory-manager build failure,open,2016-11-29,https://github.com/openbmc/openbmc/issues/847,adamliyi
,SDK does not support python yaml library,open,2016-11-29,https://github.com/openbmc/openbmc/issues/846,adamliyi
,Move to Linux 4.9,open,2016-11-29,https://github.com/openbmc/openbmc/issues/845,shenki
,Define dbus interfaces for software version management and update,open,2016-11-28,https://github.com/openbmc/openbmc/issues/844,geissonator
,Compile shared library in phosphor-dbus-interfaces and export required hpp and yaml,open,2016-11-28,https://github.com/openbmc/openbmc/issues/843,geissonator
Epic,Sprint 16.11.30 - Actual,open,2016-11-28,https://github.com/openbmc/openbmc/issues/842,williamspatrick
Epic,Sprint 16.11.30 - Committed,open,2016-11-28,https://github.com/openbmc/openbmc/issues/841,williamspatrick
,Witherspoon: BMC Self test result ipmi throwing error,closed,2016-11-28,https://github.com/openbmc/openbmc/issues/840,sivassrr
,Automatically build error yaml within phosphor-dbus-interface repo,open,2016-11-28,https://github.com/openbmc/openbmc/issues/839,geissonator
,Can't ping network in AST2400,open,2016-11-25,https://github.com/openbmc/openbmc/issues/838,Youngzhong
,Change the mapper path to the correct one..,open,2016-11-25,https://github.com/openbmc/openbmc/issues/837,ratagupt
,[ Witherspoon v1.99.0-295-g3e20a3d ] RTC Unable to read the hardware clock,closed,2016-11-25,https://github.com/openbmc/openbmc/issues/836,gkeishin
,[ Barreleye v1.99.0-295-g3e20a3d ] Poweroff Failed to bring to Standby stable,closed,2016-11-25,https://github.com/openbmc/openbmc/issues/835,gkeishin
,bmc_update: update_kernel_and_apps option is redundant,open,2016-11-25,https://github.com/openbmc/openbmc/issues/834,amboar
,[ Barreleye v1.99.0-293-g2feb3ec ] TimeManager service is not running,open,2016-11-24,https://github.com/openbmc/openbmc/issues/833,rahulmah
,[ Barreleye v1.99.0-293-g2feb3ec  ] Poweron Failed to boot Host,closed,2016-11-24,https://github.com/openbmc/openbmc/issues/832,gkeishin
,[Barreleye v1.99.0-291-g7a6b0ba] REST settings view listing gone ?,open,2016-11-23,https://github.com/openbmc/openbmc/issues/831,gkeishin
,[Barreleye v1.99.0-291-g7a6b0ba] The base /org listing pruned off ?,open,2016-11-23,https://github.com/openbmc/openbmc/issues/830,gkeishin
